UniqueID,Gene.Name,U1-WT-500-BIO2197294_vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT-500-BIO2197294_vs_WT-500_logFC,P.Value.y,Adj.P.Value.y,U1-WT-500-Branaplam_vs_DMSO_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT-500-Branaplam_vs_WT-500_logFC,P.Value.y.1,Adj.P.Value.y.1
ENSG00000130544.12,ZNF557,1.34111631618558,7.49016742287735e-15,1.06712049899713e-12,1.34530358735137,6.04369250948473e-15,1.38627905076382e-12,NA,NA,NA,NA,NA,NA
ENSG00000168152.13,THAP9,1.34076923893118,2.27118841452312e-13,2.35850299134812e-11,1.36471533690491,7.6278563461341e-14,1.24787307877046e-11,NA,NA,NA,NA,NA,NA
ENSG00000160051.11,IQCC,1.34023323720425,9.02995987408911e-14,1.0291951827224e-11,1.24208587463205,7.4451955155365e-12,6.7503106007531e-10,NA,NA,NA,NA,NA,NA
ENSG00000171763.20,SPATA5L1,1.33839450714544,2.05661968717396e-15,3.31399441315997e-13,1.22435171340531,4.86951233414699e-13,6.01942063727861e-11,NA,NA,NA,NA,NA,NA
ENSG00000215595.2,C20orf202,1.33329930130574,0.0018792792809103,0.0154122009120636,NA,NA,NA,0.0618480043818821,0.00247641765179086,0.370249039118083,NA,NA,NA
ENSG00000171970.13,ZNF57,1.33169598437303,2.26604865458182e-13,2.35850299134812e-11,1.19615240016948,7.91906692899438e-11,5.12266060140336e-09,NA,NA,NA,NA,NA,NA
ENSG00000067191.16,CACNB1,1.33098340725795,1.47563918548755e-10,8.074545566491e-09,1.21680751327017,6.32529424045996e-09,2.42444554792231e-07,NA,NA,NA,NA,NA,NA
ENSG00000285854.1,AC010197.2,1.3284863285139,4.85551252753603e-05,0.000660739954606169,0.708756165955732,0.0204411707070431,0.102779481042807,NA,NA,NA,NA,NA,NA
ENSG00000134574.12,DDB2,1.32700939248258,1.43294057336594e-20,9.84725191079268e-18,0.817083655895452,1.39262136490563e-07,3.80627359977113e-06,0.596598327472036,0.000327379356175483,0.0923864543127214,NA,NA,NA
ENSG00000215483.11,LINC00598,1.32609968665143,1.38738535849514e-05,0.000217997706128036,1.35135198734678,1.18716142275432e-05,0.000195345162391411,NA,NA,NA,NA,NA,NA
