,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,Algorithem.x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,Algorithem.y,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,Algorithem.x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,Algorithem.y,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,Algorithem.x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x,Algorithem.y
AC007192.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999953694194456,-0.0163679320975486,majiq,NA,NA,NA,0.99997878209127,-0.0117753761428558,majiq
AC007254.3,NA,NA,NA,NA,NA,NA,0.334684141088,-0.368,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC007566.10,0.0918349862125,-0.091,rmats,0.0142504939724,-0.223,rmats,NA,NA,NA,0.652918393882,-0.056,rmats,NA,NA,NA,NA,NA,NA
AC008268.3,0.999259832829267,-0.0169511689121741,majiq,0.999998271688159,-0.0180114803462322,majiq,0.997729765088843,-0.0108574186373384,majiq,0.999150408683928,0.0245319696305223,majiq,0.994492495138849,-0.0324972034486265,majiq,0.999033786823827,0.0217902544983686,majiq
AC009948.3,0.212499391336,0.276,rmats,NA,NA,NA,NA,NA,NA,0.988398182569,0.185,rmats,0.266686471458,0.206,rmats,NA,NA,NA
AC009948.5,NA,NA,NA,0.958188431918,-0.037,rmats,NA,NA,NA,2.84306287763e-05,-0.528,rmats,NA,NA,NA,0.198717092114,-0.299,rmats
AC010226.4,NA,NA,NA,0.530443115669,-0.055,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655571190893,-0.135,rmats
AC010547.9,0.999301447564537,-0.0192151396554226,majiq,0.999996794593687,-0.0221387565318005,majiq,0.99884276517263,-0.0404466482164663,majiq,0.998057738139772,-0.0131412298048431,majiq,0.998936412890952,-0.0170672439903814,majiq,0.998181101388922,-0.0134918332537274,majiq
AC011380.9,0.999678215000598,-0.0109102917635145,majiq,0.999979043559376,0.0261789153369454,majiq,0.999650052156945,-0.0207143078849853,majiq,0.999666768514408,-0.0128654157983114,majiq,0.999229919595837,0.0229921961098916,majiq,0.99822723472454,0.0305295864012223,majiq
AC012087.2,NA,NA,NA,0.157104774639,0.398,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC012146.7,0.993069622778841,0.0376784494335775,leafcutter,0.997959593390923,-0.0124560138299824,majiq,0.997552623577907,-0.0179314312352209,majiq,0.8744373392279,0.166334949818608,leafcutter,0.997105598252674,0.0353160987263041,leafcutter,0.996084468052374,-0.0352684395219896,majiq
AC012309.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20279760298e-07,0.619,rmats
AC013394.2,0.999998725504968,0.0219923017845234,leafcutter,0.913404541709863,0.0657845791004261,leafcutter,0.765781253191306,0.0883738269943113,leafcutter,0.998703379805673,-0.0287785641029499,majiq,0.99938297657256,0.0378689471012137,leafcutter,0.936346333717322,0.0706503367730079,leafcutter
AC013400.2,NA,NA,NA,0.370982367358,-0.319,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC016629.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59832335244,-0.213,rmats,NA,NA,NA
AC016747.2,0.165571578314,0.023,rmats,6.82956975235912e-11,0.0834401020979241,leafcutter,0,0.089,rmats,0.884770658735132,0.0187942636762364,leafcutter,0.983486745104706,0.0249893042057866,leafcutter,0.202864614355,-0.087,rmats
AC016747.3,0.999667397357584,-0.0219566754219718,majiq,NA,NA,NA,NA,NA,NA,0.999919091196199,-0.0101977723368765,majiq,NA,NA,NA,0.999672221382665,-0.0219391091335712,majiq
AC017048.3,0.999960310065017,-0.0226986939404336,majiq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC018633.4,0.771577438163,0.196,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
