"","dPSI_NGN2_1949634.10uM"
"EYA1",0.472770269879096
"PLEKHA1",0.47229900727065
"LUC7L3",0.472
"NBR2",0.472
"SVOP",0.471909809744608
"AC093484.3",0.471870661903228
"CEP126",0.471591506588365
"MRPS11",0.471
"NOP14-AS1",0.471
"PTPRO",0.470664833935616
"RBFOX1",0.470498590714045
"ADGRB3",0.46810609500306
"CUL9",0.468080827555217
"MBOAT2",0.468
"NUP35",0.467
"PCBP4",0.467
"GRM2",0.466
"HPS3",0.466
"EWSR1",0.465
"CYP2R1",0.46430804708598
"KIF22",0.464109196992488
"ALDH2",0.464065165181999
"KMT5B",0.463889611435505
"AKT1",0.463878558504251
"TTN-AS1",0.46327365267108
"TNIK",0.463219280716567
"GFPT1",0.461954937253334
"SAFB",0.461296141100051
"GPHN",0.461
"ZNF232",0.461
"MYO6",0.460671683372034
"ADAMTS16",0.460152982961094
"HSPA4L",0.46
"AC138969.1",0.459805089908309
"ARHGEF4",0.459675231049108
"AC131160.1",0.459408375811586
"ZNF763",0.459205227713179
"HCN3",0.458784562655657
"NR6A1",0.458251231527012
"L3MBTL2",0.458
"RPL34",0.457810548444091
"FAM161A",0.457
"TEX30",0.456570443120287
"PPIP5K2",0.456488349931395
"DCTN1-AS1",0.456
"ZEB1-AS1",0.455717251705521
"KLHL1",0.455588479610148
"IMMP1L",0.455298782947274
"MAP7",0.455259843882623
"ABAT",0.455
"AC093752.1",0.454996422235037
"TSTD3",0.454330681722996
"VPS41",0.454153942644686
"KHDRBS2",0.453807876772099
"WNK3",0.453482422293523
"SPTAN1",0.453296704413269
"FBXO10",0.452604087585968
"MTG1",0.452532083102461
"RNF14",0.452297224040689
"CAB39",0.452142029507219
"SCD",0.451728115639243
"CDC40",0.451
"SETDB2",0.451
"TNFRSF25",0.451
"CHRFAM7A",0.450413487645766
"LGALS3",0.450121418343293
"RPL22L1",0.450105870486828
"MTMR3",0.45
"CASP9",0.448460222013804
"KDM8",0.448006319351772
"PHC1",0.447874543528145
"ZSCAN25",0.447077396049948
"SPOCK3",0.446621145531327
"MARCHF11",0.446426959111912
"DCAF17",0.446
"MRPL39",0.446
"ADAM23",0.445142248958654
"ATG5",0.445
"CYP2U1",0.444332505083881
"CALCOCO1",0.444089486478194
"LINC01011",0.444078665889508
"DTWD1",0.444
"HNRNPH1",0.444
"ZDHHC20",0.443623724502745
"CREG2",0.443259802297595
"PHGDH",0.443
"GABRB1",0.442887722907413
"HECTD1",0.442352411850788
"SCN9A",0.442
"ERCC6L2",0.441
"LAMP2",0.440308813368974
"ADGRA3",0.44026724986341
"SYN3",0.439466763202419
"DARS1",0.439434162295671
"SPIN3",0.439
"GPATCH2L",0.438
"C1orf21",0.437281625916618
"USP39",0.436667592422771
"VDAC3",0.436526643750383
"CXorf38",0.435
"MYCBP2",0.435
"NFYA",0.435
"INSYN2A",0.434970043278415
"RPA1",0.434418429015434
"GPM6B",0.434219794188652
"AC010538.1",0.434153299281185
"SLC25A22",0.433
"SLC29A2",0.432820932968214
"LATS1",0.432691780545046
"TOGARAM1",0.432580600773984
"SPEN",0.432008213840697
"KAT6B",0.432
"TMEM255A",0.431
"TENT2",0.43
"IRAK1BP1",0.428886091482827
"UBR2",0.428880717717033
"TARS2",0.42864770576335
"POU6F1",0.428426375972079
"RUNDC3B",0.428
"LMBR1L",0.427918193626596
"TARBP1",0.427045262313672
"MED20",0.427
"TP53INP1",0.427
"UNC13B",0.426662728177187
"PIK3CB",0.42658718030724
"ZNF417",0.426093113495558
"THSD7A",0.425518942718637
"TBCD",0.425188481014402
"MUTYH",0.424811171436649
"SLC35F1",0.42474472157642
"RPS9",0.424638436991239
"SSH2",0.424310334033514
"CBWD6",0.423993210617496
"TTC39C",0.423188265998006
"IFT88",0.422730273989784
"LCORL",0.421413955264018
"RASSF8",0.421303221249944
"NR1H3",0.421116884431006
"LRSAM1",0.420926543227119
"BCAS3",0.42
"NUP50",0.42
"URM1",0.419700990439742
"CSNK2A1",0.419459283686182
"TDRD3",0.419060319413
"SUPT20H",0.419
"PELI1",0.418924612253249
"KLHL36",0.418259628179139
"ANOS2P",0.417135643484401
"CNOT7",0.417
"ZDHHC8P1",0.416603933215891
"RNPEP",0.416353753215504
"DHODH",0.415189668638532
"CBWD1",0.415
"ELMOD3",0.415
"ZNF253",0.414623393245912
"AC022433.1",0.414515937906928
"CDK16",0.414
"SERGEF",0.414
"CHD9",0.413
"OBSL1",0.413
"RASGEF1B",0.413
"TCFL5",0.412790706047281
"AIMP1",0.412697167403417
"RNF144A",0.412551825594233
"UBOX5",0.41253479366337
"KLHL29",0.411398234793334
"RCN2",0.411096789170055
"FUBP3",0.411
"NDUFAF6",0.41
"STXBP5",0.409917495843944
"CNOT1",0.409
"FAM135A",0.409
"RBM4B",0.409
"TRAF3",0.409
"MTF1",0.408664668019003
"SLAIN2",0.408348749227737
"SPECC1L",0.408
"ERLIN2",0.407911818189828
"MVD",0.40717519950256
"AKT2",0.407
"BRD1",0.407
"MANBA",0.407
"SYNJ1",0.407
"RASA4",0.406710403113066
"GPATCH8",0.405770733647931
"UNK",0.405435464844112
"WDR27",0.405
"CCSER1",0.404514345163961
"SUGT1",0.404449016290874
"N4BP2L2",0.404095806954269
"EIF2D",0.404
"KDSR",0.404
"SOCS6",0.403842955027538
"DUS4L-BCAP29",0.403729105498333
"EXTL2",0.403
"SMOX",0.402860169085927
"FBXW2",0.402339229762945
"COPS5",0.40108121431336
"ANKRD13C",0.401
"CACNB4",0.401
"GBA2",0.400878556030853
"NKTR",0.4
"NUDT22",0.4
"RIMS1",0.4
"TMEM260",0.4
"LNX2",0.399605780926244
"HADH",0.39945854891311
"CD55",0.398911347917462
"AGAP1",0.3988982427341
"DYM",0.398625067097498
"MDH1B",0.398
"SNHG14",0.398
"HMBS",0.397786396591827
"FBXO31",0.397262764004371
"AC087632.2",0.39662714012448
"UQCRC2",0.396127264775362
"HIKESHI",0.396
"MAGI1",0.396
"MICAL1",0.396
"WASH6P",0.395869654801957
"FGF14",0.39579896129156
"AIDA",0.395
"CPSF7",0.395
"DHX57",0.395
"ODF2L",0.395
"KALRN",0.394677751662797
"LRRTM4",0.393768376260031
"DLG1",0.39338417586901
"AHI1",0.393
"CBWD2",0.393
"NPM2",0.393
"SLC35B3",0.393
"TBC1D1",0.393
"VEZT",0.393
"WDR11",0.393
"YPEL5",0.393
"ZNF317",0.392767682525362
"HECW2",0.392538971224188
"CAMK2B",0.392459934374737
"DEDD2",0.392
"FBXL4",0.392
"SHANK2",0.39165066319892
"SPRED3",0.390595897166041
"ASCC3",0.390534388180562
"ECI2",0.39
"FBXW11",0.39
"NMT2",0.39
"NQO2",0.39
"TNK2",0.39
"SLC49A4",0.389493011773249
"CDC42",0.389321689303709
"ZFP14",0.389127650996443
"COPS3",0.389
"WASHC5",0.389
"ECSIT",0.388611844846373
"SEL1L3",0.388282889556483
"CLN3",0.388
"EPB41",0.388
"FNDC3A",0.388
"GAPVD1",0.38776138341284
"PDE4DIP",0.387389891759006
"WASHC2C",0.387303855768948
"PGBD1",0.387259588714556
"ZNF609",0.38703151736238
"SNPH",0.387
"PRMT7",0.386916440764491
"PRR5-ARHGAP8",0.386776261241798
"ZNF550",0.386
"PAIP2B",0.385800784461139
"KIAA1109",0.385573533671383
"EPN1",0.385386190783976
"MFSD14C",0.385
"RRNAD1",0.385
"RET",0.384
"USPL1",0.383258159881971
"JARID2",0.382418494144905
"AC138894.1",0.382
"ASXL1",0.382
"PPP2R2B",0.381448293704306
"ARHGAP21",0.381212604673753
"ZNF138",0.38
"METTL6",0.379849625153064
"ARMC10",0.379783541651671
"CFLAR",0.379535010303462
"AUH",0.379330449347016
"SAMD4B",0.379235789209338
"ABHD12",0.379016669133185
"MEMO1",0.379
"RIMS2",0.379
"TRPC1",0.379
"RAB3IP",0.37885237511461
"ADGRL2",0.378
"UBQLN1",0.377
"SYNJ2BP-COX16",0.376
"FOCAD",0.375865670169635
"CEP164",0.375
"KAZN",0.375
"MCF2L2",0.374979872189377
"CAMK2G",0.374803954939265
"MRPL11",0.374618680725513
"FBXO8",0.374268025373164
"AVL9",0.374034821131931
"CEP57",0.374
"MIR124-2HG",0.374
"TRIM37",0.373760525761923
"REPS1",0.373
"DGKB",0.372680826002507
"AFF2",0.37223811818127
"PM20D2",0.371549660340306
"DECR2",0.370489744734195
"CLIP1",0.370343583560533
"CIRBP",0.37
"TSC2",0.37
"CACNA1C",0.369
"MFN2",0.369
"ANKDD1A",0.368911054849745
"AP1S2",0.368
"UVRAG",0.367471406141284
"ATF6",0.367285559126583
"LRCH4",0.367
"NAA25",0.367
"PCNX4",0.367
"RAPGEF6",0.367
"PRMT1",0.366243805696544
"TBRG1",0.366200421235347
"BTBD10",0.366
"CPNE1",0.366
"KIAA0895",0.366
"DAPK1",0.36522255562798
"PCID2",0.365
"SEMA4F",0.365
"TPM3",0.365
"RPS10-NUDT3",0.364346557737494
"DPM2",0.363648904469293
"FAM168B",0.363250405782707
"CCT5",0.36302448811928
"MAPK10",0.363
"TRAPPC12",0.362263942529245
"MAGOHB",0.362176786367267
"ZNF43",0.361708752257568
"NT5C2",0.361645820479412
"LINC00957",0.361486227412462
"AGAP3",0.361
"MAMLD1",0.361
"ARHGAP1",0.360967591156922
"CLTA",0.360509198607438
"PNISR",0.360098291436967
"BX890604.2",0.360082623504038
"EMSY",0.36
"STAU2",0.36
"GTF2I",0.359354463716876
"CDKL2",0.359
"PHF21A",0.358065189755188
"DNAJB5",0.358
"MSL3",0.358
"SYNE1",0.358
"ZBTB25",0.357925274002103
"ERO1B",0.357605138841983
"GPCPD1",0.356589201186471
"IMPDH1",0.355893522649005
"SSR1",0.355344335562465
"DIS3L",0.355
"KIAA0753",0.355
"RARS2",0.355
"ZKSCAN3",0.355
"NETO2",0.354512648325399
"CTNS",0.354
"FRG1CP",0.354
"GTPBP8",0.354
"TACC1",0.354
"ACSS2",0.353914016726544
"SHISA7",0.353768278804
"PLEKHA6",0.353214960473889
"DPY19L2",0.353049958064652
"CEP170",0.353
"DZIP1",0.353
"STXBP1",0.353
"TRA2A",0.353
"TTLL7",0.353
"WNK1",0.353
"DEDD",0.352460831622004
"CCNT2",0.352
"KLHL4",0.352
"UCHL1",0.352
"CZIB",0.351403490648582
"EPB41L3",0.351
"SDCCAG8",0.350551528483661
"TMBIM6",0.350012711066011
"AACS",0.35
"HM13",0.35
"DGKI",0.349
"CTDSPL",0.348
"PTPRD",0.348
"PTPRZ1",0.347
"PRKCE",0.34673046213703
"AC046185.1",0.346
"DIP2A",0.346
"FLOT1",0.346
"GORASP1",0.346
"VDAC2",0.346
"DLGAP4",0.345
"CBWD3",0.344662912315264
"AP2A2",0.344
"CRYZL1",0.344
"USP46",0.344
"PLPPR1",0.343435581671593
"DHRS12",0.343
"FCHSD2",0.343
"MAP4",0.343
"RBMS3",0.343
"ZSCAN30",0.343
"LCLAT1",0.34262891451696
"ANK1",0.342
"PRKAB2",0.342
"STRN3",0.342
"DOCK7",0.341
"UBXN4",0.341
"ZNF780B",0.341
"CD27-AS1",0.34
"CLEC16A",0.34
"INTS14",0.34
"C12orf75",0.339662960899199
"LETM1",0.339540898212542
"LRP6",0.339318861479734
"PIKFYVE",0.33922050525394
"APBB2",0.339
