Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
ATRX,0.256251714294397,0.272813892855367,-0.452023326245808,-0.409862098572536,-0.352783614181719,0.256959238916212,-0.354116369749089,0.25070207938328,-0.436713991103423,0.290095314137236
AUH,-0.297100482065677,-0.253624559131892,NA,-0.281323349465478,NA,NA,-0.266310044119167,-0.255547294564974,-0.250382081772378,-0.276964489142711
AXIN2,NA,NA,NA,0.342771133930344,NA,NA,0.263778846841902,NA,NA,0.277078931169093
AZIN2,0.254126734338699,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4GALT4,0.42933156214999,0.315121816375287,0.286310252954686,0.378064635234973,NA,0.345252921260065,NA,NA,NA,NA
BAHCC1,NA,NA,NA,NA,NA,NA,0.333156566373732,NA,NA,NA
BAZ2B,NA,NA,NA,NA,0.256202691993388,NA,NA,NA,NA,NA
BBOF1,NA,-0.261377941642453,NA,NA,NA,NA,NA,NA,NA,NA
BBS1,-0.279326979831429,NA,NA,NA,NA,-0.256896673213202,NA,-0.265753001649325,NA,-0.290868727136428
BCL9,NA,NA,0.283912984406986,NA,NA,NA,NA,NA,0.253707309338241,NA
BCLAF1,-0.304447849319054,-0.288057422455662,NA,-0.282710250344176,NA,-0.381362693068824,-0.373168633473659,NA,-0.304763126301882,-0.303837805046888
BCLAF3,-0.360097588760962,-0.280006029866741,-0.253888712602601,-0.253461441306666,NA,0.267401748803417,-0.316821226456735,-0.267555864486129,-0.350312154835479,-0.264374045581959
BCRP2,NA,NA,NA,NA,NA,0.300689973326469,NA,NA,NA,NA
BEND5,0.288385174160729,0.369200655322341,NA,NA,NA,NA,NA,NA,NA,NA
BEND6,NA,NA,NA,NA,NA,NA,NA,NA,-0.277496400393409,NA
BICD1,NA,NA,NA,NA,NA,NA,NA,0.267424982252523,NA,NA
BICDL1,NA,NA,NA,NA,NA,-0.339812479603256,NA,NA,NA,NA
BMP1,NA,NA,NA,NA,NA,NA,NA,NA,0.318867960374055,NA
BMP8B,NA,NA,NA,NA,NA,0.277926214741305,NA,NA,NA,NA
BMS1P15,NA,NA,NA,NA,NA,NA,0.280925297216743,NA,0.270565824122919,0.274170754781258
BMS1P4,NA,-0.27371243386321,NA,-0.259305555773832,NA,NA,NA,NA,NA,NA
BOLA2.SMG1P6,NA,NA,NA,NA,0.319402471901728,NA,NA,NA,NA,NA
BRD2,-0.284926991441424,-0.296752219309698,-0.290313793022133,-0.302281760943882,NA,-0.297808146335724,-0.282788860724248,-0.287978041399851,-0.28879633492696,-0.280241223458287
BRD4,-0.317334750502604,-0.294949127175488,NA,-0.285764171073778,NA,-0.303442532875799,NA,-0.280224652405317,-0.294283704010282,-0.310847791374848
BRD7,NA,NA,NA,NA,NA,NA,NA,0.289985004983003,0.291138131708524,NA
BRWD3,NA,NA,NA,NA,NA,NA,NA,NA,-0.26433155384058,NA
BSCL2,0.266848357816733,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTN2A1,-0.318649315489974,-0.321551403302194,-0.273560161318286,-0.276353494625797,-0.293736460446978,-0.335641040388557,NA,-0.263456941350767,-0.291663720832168,NA
BTN3A3,NA,NA,0.283298309164043,NA,NA,NA,NA,NA,0.271066130890297,NA
C12orf73,NA,NA,-0.250682409213216,NA,NA,NA,NA,NA,NA,NA
C16orf95,-0.296792715594466,NA,NA,NA,NA,NA,NA,NA,-0.256394685448851,NA
